LIBNAME;MEMNAME;NAME;TYPE;LENGTH;LABEL;FORMAT
SKDE19;T19_EXTRA_AVTSPES_2014;ATC_1;String;5;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_EXTRA_AVTSPES_2015;ATC_1;String;5;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_EXTRA_AVTSPES_2016;ATC_1;String;5;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_EXTRA_AVTSPES_2017;ATC_1;String;5;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_EXTRA_AVTSPES_2018;ATC_1;String;5;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_PARVUS_AVD_2014;ATC_1;String;8;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_PARVUS_AVD_2015;ATC_1;String;8;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_PARVUS_AVD_2016;ATC_1;String;8;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_PARVUS_AVD_2017;ATC_1;String;8;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_PARVUS_AVD_2018;ATC_1;String;8;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_PARVUS_AVTSPES_2014;ATC_1;String;5;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_PARVUS_AVTSPES_2015;ATC_1;String;5;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_PARVUS_AVTSPES_2016;ATC_1;String;5;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_PARVUS_AVTSPES_2017;ATC_1;String;5;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_PARVUS_AVTSPES_2018;ATC_1;String;5;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_PARVUS_SHO_2014;ATC_1;String;8;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_PARVUS_SHO_2015;ATC_1;String;8;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_PARVUS_SHO_2016;ATC_1;String;8;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_PARVUS_SHO_2017;ATC_1;String;8;ATC kode 1 (ATC/NPR-melding);
SKDE19;T19_PARVUS_SHO_2018;ATC_1;String;8;ATC kode 1 (ATC/NPR-melding);
NPR19;M19_AVD1418_UTLEVERINGSFIL;ATC_1;String;8;;
NPR19;M19_AVD2014_UTLEVERINGSFIL;ATC_1;String;8;;
NPR19;M19_AVD2015_UTLEVERINGSFIL;ATC_1;String;8;;
NPR19;M19_AVD2016_UTLEVERINGSFIL;ATC_1;String;8;;
NPR19;M19_AVD2017_UTLEVERINGSFIL;ATC_1;String;8;;
NPR19;M19_AVD2018_UTLEVERINGSFIL;ATC_1;String;8;;
